id,dish_name,n_servings,time_s,flavors,cuisine,ingredients,energy_kcal,fat_g,protein_g,carbs_g,vitamin_e_g,vitamin_c_g,vitamin_b12_g,vitamin_d_iu,vitamin_k_g,vitamin_a_iu,vitamin_9_g,vitamin_b6_g,fatty_acids_g,cholesterol_g,sodium_g,fiber_g,sugar_g,calcium_g,iron_g,magnesium_g,zinc_g,potassium_g
04056,Hawaiian Beef Casserole,5,3900,"{""Sweet"": 0.8333, ""Sour"": 0.5, ""Salty"": 0.8333, ""Piquant"": 0.0, ""Bitter"": 1.0, ""Meaty"": 1.0}",Hawaiian,"[""cooking oil"", ""onion"", ""ground beef"", ""kidney beans"", ""pineapple chunks"", ""ketchup"", ""brown sugar"", ""cornstarch"", ""ground mustard"", ""salt""]",3258.27,20.37,109.49,44.48,0.0,0.07,0.0,3.63,0.0,511.01,0.0,,5.84,0.06,0.86,17.79,38.87,0.14,0.01,0.19,0.01,2.09
21326,Coastal Bend Redfish with Shrimp and Crab,4,2700,"{""Sweet"": 0.1667, ""Sour"": 0.3333, ""Salty"": 0.3333, ""Piquant"": 0.6667, ""Bitter"": 0.3333, ""Meaty"": 1.0}",Southern,"[""shrimp"", ""1 cup Beurre Blanc"", ""tomato puree"", ""sugar"", ""garlic salt"", ""shallots"", ""jalapeno pepper"", ""olive oil"", ""plum tomatoes"", ""crabmeat"", ""snapper fillets"", ""salt"", ""pepper"", ""asparagus"", ""carrots"", ""zucchini"", ""plum tomatoes"", ""fontina cheese"", ""chopped cilantro""]",,,,,,,,,,,,,,,,,,,,,,
04256,Baked Potato Soup,6,1500,"{""Sweet"": 0.6667, ""Sour"": 0.5, ""Salty"": 0.3333, ""Piquant"": 0.0, ""Bitter"": 0.3333, ""Meaty"": 0.5}","Irish","[""country crock spread"", ""onion"", ""baking potatoes"", ""milk"", ""chicken broth"", ""shredded cheddar cheese""]",,13.0,27.0,14.0,,0.02,,,,500.0,,,7.0,0.04,0.63,2.0,7.0,0.3,0.0,,,
06735,Mango Couscous,5,1800,"{""Sweet"": 0.6667, ""Sour"": 0.3333, ""Salty"": 0.0, ""Piquant"": 0.0, ""Bitter"": 0.6667, ""Meaty"": 0.3333}","Cuban","[""macadamia nuts"", ""low-sodium fat-free chicken broth"", ""mango"", ""whole wheat couscous"", ""dried mango"", ""lime rind"", ""fresh lime juice"", ""chopped fresh cilantro"", ""chopped fresh mint""]",1071.73,6.06,53.14,8.06,0.0,0.0,,,0.0,224.71,0.0,,0.87,,0.26,3.84,11.01,0.03,0.0,0.03,0.0,0.15
06736,Apricot Chicken,4,4500,"{""Sweet"": 0.8333, ""Sour"": 0.6667, ""Salty"": 0.1667, ""Piquant"": 0.0, ""Bitter"": 0.8333, ""Meaty"": 0.6667}",Moroccan","[""chicken legs"", ""freshly ground pepper"", ""coarse salt"", ""canola oil"", ""yellow onion"", ""garlic"", ""apricots"", ""ground cinnamon"", ""saffron threads"", ""ground ginger"", ""ground coriander"", ""honey"", ""low sodium canned chicken stock"", ""couscous"", ""unsalted butter"", ""almonds"", ""sesame seeds""]",3665.78,36.77,97.38,42.0,0.01,0.02,,8.38,0.0,3451.46,0.0,0.0,5.3,0.11,0.31,11.78,34.77,0.17,0.0,0.17,0.0,1.13
00872,"Portuguese Chourico, Beans, and Rice",2,2400,"{""Sweet"": 0.5, ""Sour"": 0.8333, ""Salty"": 0.5, ""Piquant"": 0.0, ""Bitter"": 0.6667, ""Meaty"": 0.3333}",Portugese,"[""water"", ""white rice"", ""olive oil"", ""sausage"", ""Spanish onion"", ""garlic"", ""tomato sauce"", ""red pepper flakes"", ""italian seasoning"", ""pepper"", ""salt"", ""fava beans""]",2679.98,40.68,112.94,31.01,0.0,0.02,0.0,,0.0,1356.04,0.0,0.0,10.45,0.06,2.33,6.88,8.08,0.16,0.01,0.12,0.0,1.34
10961,Spanish Rice Salad,8,3120,"{""Sweet"": 0.6667, ""Sour"": 0.8333, ""Salty"": 0.5, ""Piquant"": 0.5, ""Bitter"": 0.8333, ""Meaty"": 0.3333}",Spanish,"[""extra-virgin olive oil"", ""fresh lemon juice"", ""red wine vinegar"", ""fresh oregano"", ""garlic clove"", ""medium-grain rice"", ""fresh lemon juice"", ""artichokes"", ""salt"", ""black pepper"", ""chickpeas"", ""red onion"", ""peppers"", ""fresh flat leaf parsley""]",656.29,3.84,26.44,5.62,0.0,0.01,,,0.0,81.27,0.0,0.0,0.56,,0.11,5.44,2.69,0.05,0.0,0.05,0.0,0.33
01866,Old-Fashioned German Coffee Cake,20,3000,"{""Sweet"": 0.8333, ""Sour"": 0.8333, ""Salty"": 0.1667, ""Piquant"": 0.0, ""Bitter"": 0.1667, ""Meaty"": 0.5}",German,"[""active dry yeast"", ""sugar"", ""warm water"", ""shortening"", ""sugar"", ""egg"", ""all purpose flour"", ""milk"", ""all purpose flour"", ""brown sugar"", ""sugar"", ""shortening"", ""vanilla extract"", ""salt"", ""sliced peaches""]",,6.55,41.06,4.27,,0.0,,,,145.91,,,1.59,0.0,0.02,2.17,18.08,0.02,0.0,,,0.15
08239,Greek-Style Halibut,4,1800,"{""Sweet"": 0.6667, ""Sour"": 0.5, ""Salty"": 0.3333, ""Piquant"": 0.0, ""Bitter"": 1.0, ""Meaty"": 1.0}",Greek,"[""olive oil"", ""halibut fillets"", ""kosher salt"", ""pepper"", ""fennel bulb"", ""ouzo"", ""garlic cloves"", ""chopped tomatoes"", ""chickpeas"", ""fresh oregano leaves""]",3836.46,21.09,68.74,105.89,0.01,0.01,0.0,934.32,0.0,788.24,0.0,0.0,1.97,0.13,0.43,19.28,12.72,0.33,0.01,0.47,0.0,2.99
08318,English Muffin Bread,24,4500,"{""Piquant"": 0.0, ""Sour"": 1.0, ""Salty"": 1.0, ""Sweet"": 1.0, ""Bitter"": 1.0, ""Meaty"": 1.0}",English,[],586.72,1.1,27.49,4.23,0.0,,,10.37,,32.94,0.0,0.0,0.44,0.0,0.13,1.33,1.59,0.03,0.0,0.01,0.0,0.08
06330,Mediterranean Orzo Salad,6,1500,"{""Sweet"": 0.5, ""Sour"": 0.8333, ""Salty"": 0.3333, ""Piquant"": 0.0, ""Bitter"": 0.5, ""Meaty"": 0.1667}",Mediterranean,"[""gluten"", ""grape tomatoes"", ""pitted kalamata olives"", ""crumbled feta cheese"", ""chopped parsley"", ""gluten"", ""lemon juice"", ""salt"", ""pepper"", ""honey"", ""garlic"", ""extra virgin olive oil""]",873.0,20.69,4.65,2.37,0.0,0.01,0.0,2.0,0.0,647.54,0.0,0.0,4.4,0.01,0.37,0.63,3.04,0.07,0.0,0.01,0.0,0.15
02188,Thai Cucumber Salad,2,900,"{""Piquant"": 0.6667, ""Sour"": 0.5, ""Salty"": 0.5, ""Sweet"": 0.1667, ""Bitter"": 0.1667, ""Meaty"": 0.1667}",Thai,"[""shallots"", ""serrano chile"", ""fresh ginger"", ""limes"", ""fish sauce"", ""dark brown sugar"", ""Persian cucumbers"", ""chopped fresh cilantro"", ""fresh mint"", ""shredded coconut"", ""roasted peanuts""]",802.09,5.55,50.96,11.77,0.0,0.05,,,0.0,1583.17,0.0,0.0,1.5,,1.45,7.82,15.16,0.15,0.0,0.13,0.0,1.2
